source,target,value
azure,.net,20.933192346640457
sql-server,.net,32.322524219339904
asp.net,.net,48.40702996199019
entity-framework,.net,24.37090250532431
wpf,.net,32.35092522005943
linq,.net,20.501743858149066
wcf,.net,28.074400427611113
c#,.net,62.167895042923824
tdd,agile,37.146589924204555
codeigniter,ajax,23.19190040565183
jquery,ajax,50.56672861589973
mysql,ajax,24.80008942291756
css,ajax,26.613713724688935
php,ajax,28.01067925660409
javascript,ajax,24.39914442262329
json,ajax,32.94744601093195
cloud,amazon-web-services,21.31860679884144
azure,amazon-web-services,21.30994959394633
devops,amazon-web-services,24.98353120101788
docker,amazon-web-services,32.198071014100535
ios,android,39.77803622570551
android-studio,android,33.661083176336234
java,android,50.984730766476574
android,android-studio,33.661083176336234
typescript,angular,31.03648178393663
typescript,angular2,38.87998222920348
angularjs,angular2,26.032697164489267
ionic-framework,angularjs,29.840445766924983
reactjs,angularjs,31.62020230471286
mongodb,angularjs,31.510711170360768
css,angularjs,22.210413043130057
sass,angularjs,20.425878416671157
twitter-bootstrap,angularjs,24.153685861107462
javascript,angularjs,39.37662666227728
express,angularjs,24.43382880528071
node.js,angularjs,47.56352702530362
jquery,angularjs,30.34794743352026
asp.net-web-api,angularjs,20.11309966430225
angular2,angularjs,26.032697164489267
html5,angularjs,23.082664020750425
nginx,apache,48.583173464083416
mysql,apache,29.097834547698525
linux,apache,28.168213013158717
scala,apache-spark,50.79184563415286
hadoop,apache-spark,59.82678558413366
rest,api,22.175589109335288
.net,asp.net,48.40702996199019
sql,asp.net,21.6722646057341
sql-server,asp.net,59.67328948689907
c#,asp.net,80.4485421720991
asp.net-web-api,asp.net,47.38627215537402
jquery,asp.net,28.723178220098205
entity-framework,asp.net,48.1136690894626
mvc,asp.net,22.828412163028812
azure,asp.net,23.764072995058054
wpf,asp.net,28.15902333873328
linq,asp.net,31.581277746170855
wcf,asp.net,40.951421726059984
vb.net,asp.net,23.711346281144564
asp.net,asp.net-web-api,47.38627215537402
azure,asp.net-web-api,21.585694763313093
c#,asp.net-web-api,26.748821548289044
angularjs,asp.net-web-api,20.11309966430225
sql-server,asp.net-web-api,25.67647418219353
wcf,asp.net-web-api,28.356535431019818
entity-framework,asp.net-web-api,31.18349509959109
.net,azure,20.933192346640457
c#,azure,22.14448701181891
asp.net-web-api,azure,21.585694763313093
asp.net,azure,23.764072995058054
amazon-web-services,azure,21.30994959394633
linux,bash,38.88811575032741
shell,bash,24.71706557378606
git,bash,27.096957129984922
jquery,bootstrap,22.406154649004446
css,bootstrap,24.71031260188158
c++,c,80.89104614147385
python,c,22.320432253935472
embedded,c,28.403647769064776
java,c,26.04945930410044
linq,c#,25.222931643142886
sql,c#,25.613903617043626
asp.net,c#,80.4485421720991
asp.net-web-api,c#,26.748821548289044
entity-framework,c#,30.728425581793207
vb.net,c#,25.185135956324604
.net,c#,62.167895042923824
sql-server,c#,45.91465123552504
xamarin,c#,24.673147548722167
azure,c#,22.14448701181891
wpf,c#,38.95749217569616
unity3d,c#,25.000233473145794
wcf,c#,29.299880033528954
visual-studio,c#,27.71554342863794
qt,c++,30.144660032562147
c,c++,80.89104614147385
java,c++,23.201095658265963
python,c++,24.301045666206715
amazon-web-services,cloud,21.31860679884144
mysql,codeigniter,22.596885929311604
jquery,codeigniter,26.729771309673538
laravel,codeigniter,31.658709317460826
php,codeigniter,37.40149646160739
ajax,codeigniter,23.19190040565183
wordpress,codeigniter,25.13313076574851
ajax,css,26.613713724688935
mysql,css,27.010622489444646
photoshop,css,20.855721424968042
jquery,css,66.67420569975171
html,css,126.57112712972764
javascript,css,75.53660009612221
html5,css,87.13826986156899
bootstrap,css,24.71031260188158
twitter-bootstrap,css,31.56405510257182
less,css,25.340535324481124
wordpress,css,31.264824668848835
angularjs,css,22.210413043130057
sass,css,40.96336126549837
php,css,51.447604909108925
amazon-web-services,devops,24.98353120101788
docker,devops,24.554202817668248
jenkins,devops,23.602587607535273
python,django,49.905942953683244
flask,django,42.33664313992495
postgresql,django,22.48925264318247
amazon-web-services,docker,32.198071014100535
go,docker,28.375405907346195
devops,docker,24.554202817668248
jenkins,docker,26.528607599809522
wordpress,drupal,24.919296182152596
maven,eclipse,25.314659453818305
redis,elasticsearch,29.349098676116647
mongodb,elasticsearch,20.22800685545149
c,embedded,28.403647769064776
.net,entity-framework,24.37090250532431
wpf,entity-framework,24.228201856682706
asp.net,entity-framework,48.1136690894626
sql-server,entity-framework,32.62377908692168
linq,entity-framework,54.00592956009751
wcf,entity-framework,32.81595165036012
asp.net-web-api,entity-framework,31.18349509959109
c#,entity-framework,30.728425581793207
vba,excel,45.26074988295236
excel-vba,excel,54.50523562629742
vba,excel-vba,49.61621727834464
excel,excel-vba,54.50523562629742
reactjs,express,31.924272588963444
redux,express,21.543458417676824
angularjs,express,24.43382880528071
node.js,express,58.829076622959285
mongodb,express,48.76806081178149
python,flask,25.251371861419308
django,flask,42.33664313992495
jenkins,git,23.075440145975143
github,git,56.20246391729147
bash,git,27.096957129984922
linux,git,27.70879277472438
git,github,56.20246391729147
docker,go,28.375405907346195
scala,hadoop,21.62593446217338
apache-spark,hadoop,59.82678558413366
scala,haskell,22.757440009799737
jsp,hibernate,39.406945985510596
java,hibernate,32.52356510452292
spring-boot,hibernate,30.232903706376273
maven,hibernate,34.100052024791246
rest,hibernate,21.646667877763228
web-services,hibernate,21.210956925188103
spring-mvc,hibernate,64.109898213092265
java-ee,hibernate,39.90817378554484
spring,hibernate,103.26828446355263
mysql,html,21.35568889023083
javascript,html,59.75548884052987
php,html,45.66104087971069
css,html,126.57112712972764
sass,html,23.639529235488705
jquery,html,44.23362023021944
php,html5,32.350506919162136
wordpress,html5,22.216440754019796
javascript,html5,47.00636375705097
angularjs,html5,23.082664020750425
less,html5,20.92318766828214
twitter-bootstrap-3,html5,22.161036413455076
jquery,html5,47.49277338891457
css,html5,87.13826986156899
twitter-bootstrap,html5,26.230983374393585
sass,html5,32.070376656092115
angularjs,ionic-framework,29.840445766924983
android,ios,39.77803622570551
swift,ios,87.21964246099864
osx,ios,30.341581071883272
objective-c,ios,78.75928046651394
iphone,ios,57.15857405623158
xcode,ios,46.36509077387072
swift,iphone,36.02337467321895
xcode,iphone,34.71286507120063
ios,iphone,57.15857405623158
objective-c,iphone,47.97788760375011
spring,java,43.954259225314345
c++,java,23.201095658265963
jsp,java,21.619803035260286
java-ee,java,25.116182820462374
android,java,50.984730766476574
hibernate,java,32.52356510452292
c,java,26.04945930410044
spring-mvc,java,25.041214810765112
spring,java-ee,39.812105148516856
hibernate,java-ee,39.90817378554484
spring-mvc,java-ee,27.964591852574834
java,java-ee,25.116182820462374
jquery,javascript,57.84183152642191
twitter-bootstrap,javascript,20.238823043724278
node.js,javascript,42.73172932305638
mysql,javascript,22.91619071652686
angularjs,javascript,39.37662666227728
php,javascript,47.3281575555596
ajax,javascript,24.39914442262329
reactjs,javascript,33.56735910485145
css,javascript,75.53660009612221
html,javascript,59.75548884052987
sass,javascript,23.782469883653217
html5,javascript,47.00636375705097
git,jenkins,23.075440145975143
devops,jenkins,23.602587607535273
maven,jenkins,33.47708077913068
docker,jenkins,26.528607599809522
json,jquery,20.62957734085586
html,jquery,44.23362023021944
wordpress,jquery,28.87017059988903
sass,jquery,24.68172813218768
asp.net,jquery,28.723178220098205
php,jquery,46.619090898232265
css,jquery,66.67420569975171
html5,jquery,47.49277338891457
ajax,jquery,50.56672861589973
twitter-bootstrap,jquery,36.79192549817867
mysql,jquery,35.71297781108102
angularjs,jquery,30.34794743352026
twitter-bootstrap-3,jquery,21.153243249312748
javascript,jquery,57.84183152642191
codeigniter,jquery,26.729771309673538
bootstrap,jquery,22.406154649004446
rest,json,25.049498396111403
jquery,json,20.62957734085586
xml,json,42.721668458812765
ajax,json,32.94744601093195
hibernate,jsp,39.406945985510596
java,jsp,21.619803035260286
spring-mvc,jsp,24.06449025192885
spring,jsp,30.61333985121873
vue.js,laravel,28.79989665496036
php,laravel,45.88473321024233
mysql,laravel,20.23026605428928
codeigniter,laravel,31.658709317460826
sass,less,60.545941127987604
css,less,25.340535324481124
html5,less,20.92318766828214
wcf,linq,34.58709265871981
sql-server,linq,20.444792111689296
c#,linq,25.222931643142886
asp.net,linq,31.581277746170855
entity-framework,linq,54.00592956009751
.net,linq,20.501743858149066
wpf,linq,26.468391555977576
bash,linux,38.88811575032741
git,linux,27.70879277472438
unix,linux,25.357412874239948
osx,linux,23.41281493970028
ubuntu,linux,29.894342585346926
shell,linux,21.131792917374074
nginx,linux,21.080478447912995
windows,linux,29.945400773839896
python,linux,21.17036044400364
apache,linux,28.168213013158717
python,machine-learning,30.27077436735024
r,machine-learning,23.21869703965049
r,matlab,20.021932698311588
spring-mvc,maven,24.933802259856545
jenkins,maven,33.47708077913068
eclipse,maven,25.314659453818305
spring,maven,39.53022984092444
hibernate,maven,34.100052024791246
express,mongodb,48.76806081178149
node.js,mongodb,58.65780661217398
reactjs,mongodb,22.3209731892725
postgresql,mongodb,22.855557000277642
mysql,mongodb,26.36926476163211
redis,mongodb,33.554731128787694
elasticsearch,mongodb,20.22800685545149
angularjs,mongodb,31.510711170360768
asp.net,mvc,22.828412163028812
css,mysql,27.010622489444646
jquery,mysql,35.71297781108102
mongodb,mysql,26.36926476163211
laravel,mysql,20.23026605428928
php,mysql,65.07025912410015
postgresql,mysql,25.909942488756776
javascript,mysql,22.91619071652686
html,mysql,21.35568889023083
ajax,mysql,24.80008942291756
apache,mysql,29.097834547698525
codeigniter,mysql,22.596885929311604
linux,nginx,21.080478447912995
redis,nginx,27.473141406934243
apache,nginx,48.583173464083416
javascript,node.js,42.73172932305638
reactjs,node.js,55.192747551978705
express,node.js,58.829076622959285
angularjs,node.js,47.56352702530362
mongodb,node.js,58.65780661217398
react-native,node.js,22.16325031188543
redux,node.js,23.40192325369395
xcode,objective-c,43.41882511710604
iphone,objective-c,47.97788760375011
swift,objective-c,79.08853577916759
ios,objective-c,78.75928046651394
osx,objective-c,24.763189829170084
sql,oracle,21.82760476470736
plsql,oracle,45.06151433906438
windows,osx,20.860246776482484
objective-c,osx,24.763189829170084
ios,osx,30.341581071883272
linux,osx,23.41281493970028
regex,perl,21.364077886249937
css,photoshop,20.855721424968042
css,php,51.447604909108925
laravel,php,45.88473321024233
wordpress,php,41.03704549651282
jquery,php,46.619090898232265
javascript,php,47.3281575555596
ajax,php,28.01067925660409
html,php,45.66104087971069
mysql,php,65.07025912410015
html5,php,32.350506919162136
codeigniter,php,37.40149646160739
oracle,plsql,45.06151433906438
sql,plsql,22.717442387504864
mysql,postgresql,25.909942488756776
redis,postgresql,26.28018174137368
ruby-on-rails,postgresql,25.69011032907274
mongodb,postgresql,22.855557000277642
django,postgresql,22.48925264318247
ruby,postgresql,21.79517505760149
windows,powershell,20.24069060325144
flask,python,25.251371861419308
c++,python,24.301045666206715
machine-learning,python,30.27077436735024
django,python,49.905942953683244
c,python,22.320432253935472
r,python,28.53574785327096
linux,python,21.17036044400364
c++,qt,30.144660032562147
python,r,28.53574785327096
matlab,r,20.021932698311588
machine-learning,r,23.21869703965049
reactjs,react-native,61.53102297253567
redux,react-native,25.480581476491025
node.js,react-native,22.16325031188543
node.js,reactjs,55.192747551978705
sass,reactjs,24.9979588147436
react-native,reactjs,61.53102297253567
redux,reactjs,65.12985505970208
angularjs,reactjs,31.62020230471286
mongodb,reactjs,22.3209731892725
express,reactjs,31.924272588963444
javascript,reactjs,33.56735910485145
mongodb,redis,33.554731128787694
nginx,redis,27.473141406934243
elasticsearch,redis,29.349098676116647
postgresql,redis,26.28018174137368
reactjs,redux,65.12985505970208
node.js,redux,23.40192325369395
react-native,redux,25.480581476491025
express,redux,21.543458417676824
perl,regex,21.364077886249937
spring,rest,26.11759862631264
web-services,rest,33.69066907565828
api,rest,22.175589109335288
hibernate,rest,21.646667877763228
json,rest,25.049498396111403
postgresql,ruby,21.79517505760149
ruby-on-rails,ruby,95.36131071220332
postgresql,ruby-on-rails,25.69011032907274
ruby,ruby-on-rails,95.36131071220332
jquery,sass,24.68172813218768
javascript,sass,23.782469883653217
reactjs,sass,24.9979588147436
html,sass,23.639529235488705
html5,sass,32.070376656092115
less,sass,60.545941127987604
angularjs,sass,20.425878416671157
css,sass,40.96336126549837
twitter-bootstrap,sass,20.18548801090922
hadoop,scala,21.62593446217338
haskell,scala,22.757440009799737
apache-spark,scala,50.79184563415286
testing,selenium,33.685943095200074
bash,shell,24.71706557378606
linux,shell,21.131792917374074
web-services,spring,20.16560629687762
spring-mvc,spring,63.330217313152836
rest,spring,26.11759862631264
spring-boot,spring,57.04039265671136
maven,spring,39.53022984092444
java-ee,spring,39.812105148516856
hibernate,spring,103.26828446355263
jsp,spring,30.61333985121873
java,spring,43.954259225314345
spring,spring-boot,57.04039265671136
hibernate,spring-boot,30.232903706376273
spring-mvc,spring-boot,60.61682620955685
maven,spring-mvc,24.933802259856545
java-ee,spring-mvc,27.964591852574834
spring,spring-mvc,63.330217313152836
jsp,spring-mvc,24.06449025192885
spring-boot,spring-mvc,60.61682620955685
hibernate,spring-mvc,64.109898213092265
java,spring-mvc,25.041214810765112
plsql,sql,22.717442387504864
sql-server,sql,24.354772917848095
c#,sql,25.613903617043626
oracle,sql,21.82760476470736
asp.net,sql,21.6722646057341
asp.net-web-api,sql-server,25.67647418219353
wcf,sql-server,26.29146633095843
vb.net,sql-server,21.788893442838376
.net,sql-server,32.322524219339904
entity-framework,sql-server,32.62377908692168
asp.net,sql-server,59.67328948689907
linq,sql-server,20.444792111689296
sql,sql-server,24.354772917848095
c#,sql-server,45.91465123552504
xcode,swift,48.62033486702057
iphone,swift,36.02337467321895
objective-c,swift,79.08853577916759
ios,swift,87.21964246099864
agile,tdd,37.146589924204555
selenium,testing,33.685943095200074
angularjs,twitter-bootstrap,24.153685861107462
html5,twitter-bootstrap,26.230983374393585
sass,twitter-bootstrap,20.18548801090922
jquery,twitter-bootstrap,36.79192549817867
javascript,twitter-bootstrap,20.238823043724278
css,twitter-bootstrap,31.56405510257182
jquery,twitter-bootstrap-3,21.153243249312748
html5,twitter-bootstrap-3,22.161036413455076
angular2,typescript,38.87998222920348
angular,typescript,31.03648178393663
linux,ubuntu,29.894342585346926
c#,unity3d,25.000233473145794
linux,unix,25.357412874239948
asp.net,vb.net,23.711346281144564
sql-server,vb.net,21.788893442838376
c#,vb.net,25.185135956324604
excel-vba,vba,49.61621727834464
excel,vba,45.26074988295236
c#,visual-studio,27.71554342863794
laravel,vue.js,28.79989665496036
.net,wcf,28.074400427611113
entity-framework,wcf,32.81595165036012
c#,wcf,29.299880033528954
sql-server,wcf,26.29146633095843
wpf,wcf,53.17990345536856
linq,wcf,34.58709265871981
asp.net,wcf,40.951421726059984
asp.net-web-api,wcf,28.356535431019818
rest,web-services,33.69066907565828
hibernate,web-services,21.210956925188103
spring,web-services,20.16560629687762
powershell,windows,20.24069060325144
linux,windows,29.945400773839896
osx,windows,20.860246776482484
php,wordpress,41.03704549651282
html5,wordpress,22.216440754019796
css,wordpress,31.264824668848835
codeigniter,wordpress,25.13313076574851
drupal,wordpress,24.919296182152596
jquery,wordpress,28.87017059988903
linq,wpf,26.468391555977576
wcf,wpf,53.17990345536856
entity-framework,wpf,24.228201856682706
c#,wpf,38.95749217569616
asp.net,wpf,28.15902333873328
.net,wpf,32.35092522005943
c#,xamarin,24.673147548722167
objective-c,xcode,43.41882511710604
swift,xcode,48.62033486702057
iphone,xcode,34.71286507120063
ios,xcode,46.36509077387072
json,xml,42.721668458812765
